Home Points,Away Points,,Jitter Home Points,Jitter Away Points
95,98,,95,98
97,99,,97,99
91,100,,91,100
94,107,,94,107
80,83,,80,83
107,87,,107,87
99,109,,99,109
100,104,,100,104
114,97,,114,97
111,123,,111,123
95,97,,95,97
106,105,,106,105
103,94,,103,94
103,83,,103,83
120,116,,120,116
90,115,,90,115
114,110,,114,110
95,89,,95,89
106,110,,106,110
96,109,,96,109
115,112,,115,112
91,103,,91,103
97,85,,97,85
91,94,,91,94
113,104,,113,104
96,93,,96,93
97,107,,97,107
95,113,,95,113
89,77,,89,77
112,100,,112,100
104,90,,104,90
99,103,,99,103
93,92,,93,92
111,107,,111,107
96,108,,96,108
121,115,,121,115
90,99,,90,99
123,131,,123,131
93,87,,93,87
106,114,,106,114
131,123,,131,123
100,105,,100,105
105,110,,105,110
125,88,,125,88
85,74,,85,74
90,103,,90,103
103,128,,103,128
98,113,,98,113
81,107,,81,107
116,119,,116,119
104,98,,104,98
102,107,,102,107
85,98,,85,98
106,127,,106,127
90,106,,90,106
95,114,,95,114
104,94,,104,94
103,91,,103,91
116,99,,116,99
108,104,,108,104
87,99,,87,99
122,127,,122,127
90,99,,90,99
101,108,,101,108
96,86,,96,86
70,95,,70,95
120,85,,120,85
85,103,,85,103
102,89,,102,89
101,104,,101,104
91,100,,91,100
84,91,,84,91
108,106,,108,106
119,118,,119,118
100,107,,100,107
100,113,,100,113
89,115,,89,115
108,83,,108,83
104,96,,104,96
103,110,,103,110
110,105,,110,105
93,100,,93,100
122,117,,122,117
112,104,,112,104
91,94,,91,94
100,102,,100,102
80,94,,80,94
91,114,,91,114
79,112,,79,112
100,105,,100,105
109,103,,109,103
81,99,,81,99
93,92,,93,92
94,97,,94,97
109,95,,109,95
122,123,,122,123
85,106,,85,106
104,107,,104,107
98,95,,98,95
84,93,,84,93
91,103,,91,103
94,104,,94,104
82,106,,82,106
81,108,,81,108
93,113,,93,113
118,104,,118,104
103,117,,103,117
116,104,,116,104
101,108,,101,108
107,109,,107,109
83,77,,83,77
98,95,,98,95
91,77,,91,77
110,122,,110,122
108,95,,108,95
120,116,,120,116
101,110,,101,110
116,88,,116,88
108,86,,108,86
81,101,,81,101
98,102,,98,102
109,106,,109,106
91,109,,91,109
93,105,,93,105
114,106,,114,106
94,113,,94,113
84,102,,84,102
108,116,,108,116
107,103,,107,103
79,91,,79,91
90,103,,90,103
128,108,,128,108
117,113,,117,113
97,88,,97,88
83,77,,83,77
125,99,,125,99
95,96,,95,96
84,91,,84,91
91,86,,91,86
99,100,,99,100
103,95,,103,95
103,111,,103,111
106,79,,106,79
114,100,,114,100
132,140,,132,140
108,98,,108,98
119,124,,119,124
111,101,,111,101
81,98,,81,98
100,112,,100,112
132,98,,132,98
113,118,,113,118
113,119,,113,119
99,101,,99,101
129,128,,129,128
90,120,,90,120
116,91,,116,91
107,114,,107,114
112,111,,112,111
89,84,,89,84
102,108,,102,108
119,105,,119,105
95,92,,95,92
91,78,,91,78
101,111,,101,111
99,109,,99,109
100,122,,100,122
103,94,,103,94
100,103,,100,103
89,115,,89,115
116,104,,116,104
123,98,,123,98
93,91,,93,91
110,103,,110,103
105,92,,105,92
119,117,,119,117
86,114,,86,114
95,113,,95,113
89,114,,89,114
95,103,,95,103
82,109,,82,109
108,111,,108,111
99,130,,99,130
119,142,,119,142
82,94,,82,94
109,90,,109,90
79,104,,79,104
95,85,,95,85
103,121,,103,121
105,98,,105,98
87,92,,87,92
100,97,,100,97
97,108,,97,108
103,121,,103,121
99,116,,99,116
84,97,,84,97
101,106,,101,106
96,83,,96,83
95,98,,95,98
101,104,,101,104
108,105,,108,105
103,105,,103,105
105,109,,105,109
117,121,,117,121
123,122,,123,122
103,117,,103,117
107,111,,107,111
128,116,,128,116
83,97,,83,97
105,120,,105,120
105,99,,105,99
89,103,,89,103
108,95,,108,95
83,98,,83,98
111,114,,111,114
93,87,,93,87
98,101,,98,101
95,85,,95,85
103,107,,103,107
88,100,,88,100
92,95,,92,95
110,115,,110,115
86,74,,86,74
87,117,,87,117
83,112,,83,112
74,99,,74,99
126,129,,126,129
112,95,,112,95
104,115,,104,115
94,112,,94,112
112,92,,112,92
106,116,,106,116
97,111,,97,111
115,113,,115,113
97,75,,97,75
112,106,,112,106
77,97,,77,97
93,120,,93,120
87,105,,87,105
114,119,,114,119
78,91,,78,91
116,95,,116,95
93,96,,93,96
101,82,,101,82
98,116,,98,116
115,111,,115,111
95,99,,95,99
101,103,,101,103
103,101,,103,101
106,103,,106,103
88,91,,88,91
117,89,,117,89
99,115,,99,115
102,115,,102,115
102,101,,102,101
114,91,,114,91
92,111,,92,111
117,113,,117,113
83,103,,83,103
93,103,,93,103
105,114,,105,114
115,118,,115,118
126,98,,126,98
92,101,,92,101
94,103,,94,103
91,95,,91,95
97,116,,97,116
114,120,,114,120
109,99,,109,99
101,106,,101,106
107,91,,107,91
101,96,,101,96
110,107,,110,107
91,79,,91,79
99,114,,99,114
97,94,,97,94
110,104,,110,104
97,112,,97,112
92,90,,92,90
91,89,,91,89
103,113,,103,113
102,98,,102,98
128,122,,128,122
89,106,,89,106
100,107,,100,107
109,88,,109,88
106,117,,106,117
107,101,,107,101
116,117,,116,117
109,97,,109,97
85,99,,85,99
90,104,,90,104
84,107,,84,107
101,106,,101,106
104,110,,104,110
89,108,,89,108
94,103,,94,103
104,107,,104,107
110,112,,110,112
104,98,,104,98
112,93,,112,93
87,106,,87,106
96,87,,96,87
109,115,,109,115
91,78,,91,78
111,118,,111,118
95,109,,95,109
123,114,,123,114
125,94,,125,94
94,106,,94,106
107,127,,107,127
93,115,,93,115
103,111,,103,111
97,110,,97,110
99,130,,99,130
85,83,,85,83
126,123,,126,123
73,102,,73,102
109,98,,109,98
